dialogue,utterance,all_events
Alex want to go out for the night so she go with Jesse and her friend .,Alex>>want>>to>>go>>out>>for>>the>>night>>so>>she>>go>>with>>Jesse>>and>>her>>friend>>.,Alex wants to go out||Alex goes  at night||Alex goes out last night||Alex goes  in the night||Alex goes  that night||Alex wants to go out||Alex goes out last night||Alex goes  at night||Alex goes  in the night||Alex is going out with friends
Alex eat the candy Jesse give them and it be really good .,Alex>>eat>>the>>candy>>Jesse>>give>>them>>and>>it>>be>>really>>good>>.,Alex quits eating candy||Alex eats a lot of candy||Alex gives  candy||Alex eats candy||Alex is really really good||Alex is really good||Alex eats the candy||Alex is actually really good||Alex lets them have it||Alex becomes really good||Alex is really good at it
Robin go to the poll and post her ballot for the candidate she want .,Robin>>go>>to>>the>>poll>>and>>post>>her>>ballot>>for>>the>>candidate>>she>>want>>.,Alex stuffs the ballot box||Alex goes to the post office||Alex goes to the polls
Tracy go camping during the weekend because he want to get away .,Tracy>>go>>camping>>during>>the>>weekend>>because>>he>>want>>to>>get>>away>>.,Alex goes camping||Alex goes camping during the weekend||Alex is going camping||Alex goes  last weekend||Alex goes every weekend
Kai would fall down because they do not know how to properly ice skate .,Kai>>would>>fall>>down>>because>>they>>do>>not>>know>>how>>to>>properly>>ice>>skate>>.,Alex does n't know how to cook||Alex loves to ice skate||Alex does n't know how to play||Alex learns how to ice skate||Alex does not know how to swim
it have be a long hard battle but now Alex lay down their arm .,it>>have>>be>>a>>long>>hard>>battle>>but>>now>>Alex>>lay>>down>>their>>arm>>.,Alex lays down beside Jesse||Alex thinks long and hard||Alex works long and hard||Alex lays down the law||Alex has a long day||Alex lays down next to Jesse||Alex has long hair||Alex lays down the marker||Alex lays down Alex's arms||Alex is having a hard time
Alex say it be well to go than to stay at the party .,Alex>>say>>it>>be>>well>>to>>go>>than>>to>>stay>>at>>the>>party>>.,Alex is going to a party||Alex wants to go to a party||Alex is better than nothing||Alex makes a better door than a window||Alex feels better than ever
Jesse be a new person who just start at Alex 's work .   Alex have hear rumor that Jesse be hope to get the management position that Alex secretly have their heart set on .,Jesse>>be>>a>>new>>person>>who>>just>>start>>at>>Alex>>'s>>work>>.>>Alex>>have>>hear>>rumor>>that>>Jesse>>be>>hope>>to>>get>>the>>management>>position>>that>>Alex>>secretly>>have>>their>>heart>>set>>on>>.,Alex starts working out||Alex crosses my heart and hope to die||Alex starts working||Alex just got a new job||Alex has a heart attack||Alex has a heart condition||Alex just started a new job||Alex starts working again||Alex hopes would get||Alex has a heart||Alex tells Jesse had heard||Alex starts to work||Alex has a heart attack||Alex has never heard before||Alex has a heart condition||Alex starts work||Alex just moved to a new town||Alex just started a new job||Alex has a heart
Carson enjoy sport and like to watch the game . they collect baseball card .,Carson>>enjoy>>sport>>and>>like>>to>>watch>>the>>game>>.>>they>>collect>>baseball>>card>>.,Alex enjoys the game||Alex loves sports||Alex watches sports||Alex likes to play video games||Alex watches sports||Alex likes sports||Alex likes the game||Alex plays a sport||Alex collects baseball cards||Alex watches a football game||Alex watches the football game||Alex watches the game||Alex likes sports||Alex plays sports
Alex hand back the money when the cashier give him too much change back .,Alex>>hand>>back>>the>>money>>when>>the>>cashier>>give>>him>>too>>much>>change>>back>>.,Alex spends too much||Alex spends too much money||Alex is too much work||Alex hands back the ||Alex becomes too much||Alex gives  back||Alex changes  back||Alex protests too much||Alex hands  back||Alex loves  too much
Alex decide to attend his law school reunion which be hold last Saturday evening .   Alex enjoy meet up with former classmate .,Alex>>decide>>to>>attend>>his>>law>>school>>reunion>>which>>be>>hold>>last>>Saturday>>evening>>.>>Alex>>enjoy>>meet>>up>>with>>former>>classmate>>.,Alex breaks a law||Alex attends Jesse school||Alex realizes it was saturday||Alex is the last day of school||Alex attends school
Alex go a bit far when they be drink at the bar .,Alex>>go>>a>>bit>>far>>when>>they>>be>>drink>>at>>the>>bar>>.,Alex goes to the bar with Alex's friends||Alex goes to the bar with friends||Alex goes too far||Alex goes a  far
Quinn wear jean the next day after be warn it violate the dress code .,Quinn>>wear>>jean>>the>>next>>day>>after>>be>>warn>>it>>violate>>the>>dress>>code>>.,Alex wears the dress||Alex wears ripped jeans||Alex wears  the next day||Alex violates every ||Alex wears a dress||Alex wears  to school the next day
Bailey go away for a few week with family on a vacation and have a wonderful time on their trip .,Bailey>>go>>away>>for>>a>>few>>week>>with>>family>>on>>a>>vacation>>and>>have>>a>>wonderful>>time>>on>>their>>trip>>.,Alex goes a week||Alex has a wonderful trip||Alex has a great trip||Alex has a wonderful time on Alex's trip||Alex spends the next few weeks||Alex wants to go on a vacation||Alex has a wonderful time||Alex has a wonderful day||Alex is only a week away||Alex is on a family trip||Alex is going on vacation
"Alex be try to study for a big test , so Alex turn Jesse 's music down .","Alex>>be>>try>>to>>study>>for>>a>>big>>test>>,>>so>>Alex>>turn>>Jesse>>'s>>music>>down>>.",Alex turns the music||Alex turns Alex's music||Alex turns Alex's music down||Alex has a big test tomorrow||Alex studies for a test||Alex turns Jesse's music down||Alex studies very hard for the test||Alex studies for the test||Alex studies for Alex's test||Alex asks Jesse to turn it down||Alex tries to study
Robin walk the same route to school with Alex 's friend .,Robin>>walk>>the>>same>>route>>to>>school>>with>>Alex>>'s>>friend>>.,Alex walks  to school||Alex walks and chew gum at the same time||Alex is walking to school||Alex walks to school ||Alex walks to school
Robin go with Alex 's friend to the school carnival .,Robin>>go>>with>>Alex>>'s>>friend>>to>>the>>school>>carnival>>.,Alex takes  to the carnival||Alex is going to school
Jesse get the result for the test and get an a as a grade .,Jesse>>get>>the>>result>>for>>the>>test>>and>>get>>an>>a>>as>>a>>grade>>.,Alex is deferred until test results are in||Alex gets the results||Alex gets bad grades||Alex gets a great grade||Alex gets a good grade||Alex gets the test||Alex has been deferred until test results are in||Alex defers until test results are in||Alex gets the results||Alex gets a bad grade||Alex gets  as a result||Alex gets an a on the test||Alex gets  on the test||Alex gets  as a result||Alex gets a terrible grade
Alex take the test quickly because they want to pass quickly with fly color .,Alex>>take>>the>>test>>quickly>>because>>they>>want>>to>>pass>>quickly>>with>>fly>>color>>.,Alex passes quickly||Alex wants to fly||Alex quickly took ||Alex quickly took||Alex passes  with flying colors||Alex passes with flying colors||Alex passes quickly
Addison have finish a semester of school . they leave for home .,Addison>>have>>finish>>a>>semester>>of>>school>>.>>they>>leave>>for>>home>>.,Alex leaves at home||Alex leaves home||Alex leaves for home||Alex leaves  at home||Alex finishes high school||Alex finishes school
Alex wrap a belt around the waist of the bull rider .,Alex>>wrap>>a>>belt>>around>>the>>waist>>of>>the>>bull>>rider>>.,Alex wraps  around my waist||Alex wraps  around Jesse's waist||Alex wraps around Jesse's waist||Alex wraps Jesse's arms around Jesse's waist||Alex wraps  around waist
Tracy take Sydney to school after Sydney miss the school bus this morning .,Tracy>>take>>Sydney>>to>>school>>after>>Sydney>>miss>>the>>school>>bus>>this>>morning>>.,Alex rids the bus to school||Alex misses school||Alex plays  after school||Alex takes the bus to school||Alex misses  to school||Alex misses school||Alex rids the bus to school||Alex misses the bus||Alex misses Alex's bus||Alex misses  to school
Quinn afford every nice meal after get a substantial raise at work .,Quinn>>afford>>every>>nice>>meal>>after>>get>>a>>substantial>>raise>>at>>work>>.,Alex gets a raise||Alex affords every ||Alex affords Jesse every ||Alex goes home after work||Alex is getting a raise||Alex buys  after work||Alex goes  after work||Alex works after school
Alex keep the ball roll and ask the next contestant a question .,Alex>>keep>>the>>ball>>roll>>and>>ask>>the>>next>>contestant>>a>>question>>.,Alex asks Jesse a question||Alex keeps the ball rolling||Alex asks the question||Alex gets the ball rolling||Alex asks a question||Alex asks Jesse a questions||Alex keeps Alex's eye on the ball||Alex asks questions
Quinn murder Remy 's wife after Remy steal a lot of money from the family .,Quinn>>murder>>Remy>>'s>>wife>>after>>Remy>>steal>>a>>lot>>of>>money>>from>>the>>family>>.,Alex steals  from the store||Alex steals Jesse's money||Alex loses a lot of money||Alex steals the money||Alex steals Jesse's money||Alex steals money||Alex murders Jesse's wife
Alex catch their boyfriend send text to another girl .,Alex>>catch>>their>>boyfriend>>send>>text>>to>>another>>girl>>.,Alex sends a text||Alex sends  a text message||Alex sends Jesse a text||Alex sends  a text||Alex sends text messages
Alex tell her dog Jesse to stay so he do not follow her down the street .,Alex>>tell>>her>>dog>>Jesse>>to>>stay>>so>>he>>do>>not>>follow>>her>>down>>the>>street>>.,Alex walks down the street||Alex chases  down the street||Alex is walking down the street||Alex is driving down the street||Alex is running down the street
Kendall buy anything require because they know that failure be not an option .,Kendall>>buy>>anything>>require>>because>>they>>know>>that>>failure>>be>>not>>an>>option>>.,Alex does n't know anyone||Alex does n't know either||Alex knows anything||Alex buys anything||Alex can n't find anything||Alex feels like a failure||Alex does not know anything||Alex can n't see anything
"during the speech , Remy give Alex 's interpretation of the situation to the guest .","during>>the>>speech>>,>>Remy>>give>>Alex>>'s>>interpretation>>of>>the>>situation>>to>>the>>guest>>.",Alex interprets the  correctly||Alex interprets  in terms||Alex is my guest||Alex gives a speech||Alex gives Alex's speech||Alex gives Jesse interpretation||Alex interprets  in a way||Alex gives the speech||Alex gives a great speech
Alex take a very long time to clean the window of her house .,Alex>>take>>a>>very>>long>>time>>to>>clean>>the>>window>>of>>her>>house>>.,Alex cleans the entire house||Alex cleans the house||Alex takes a very long time||Alex takes Jesse a long time||Alex takes a long time||Alex is cleaning Jesse's house||Alex is taking a long time||Alex is cleaning Alex's house||Alex cleans the whole house
"whenever opportunity arise , Alex drive himself to any destination . he just make sure he study the map carefully with the aid of the gps .","whenever>>opportunity>>arise>>,>>Alex>>drive>>himself>>to>>any>>destination>>.>>he>>just>>make>>sure>>he>>study>>the>>map>>carefully>>with>>the>>aid>>of>>the>>gps>>.",Alex makes sure||Alex studies  carefully||Alex makes sure it was perfect||Alex says would prefer||Alex studies carefully the ||Alex meets  as arise||Alex prevents  from arising||Alex studies the  carefully
Bailey be a fast learner .,Bailey>>be>>a>>fast>>learner>>.,Alex is a quick learner
Sasha work as a nurse and often step in and protect patient right .,Sasha>>work>>as>>a>>nurse>>and>>often>>step>>in>>and>>protect>>patient>>right>>.,Alex steps right||Alex works right||Alex protects the patient 's ||Alex protects Alex's rights||Alex works often||Alex protects Jesse's rights
Jesse eat their cereal and do not leave any for everyone else .,Jesse>>eat>>their>>cereal>>and>>do>>not>>leave>>any>>for>>everyone>>else>>.,Alex not does Jesse any favors||Alex eats Jesse's cereal||Alex eats Jesse's cereal||Alex not does Jesse any favours||Alex eats Alex's cereal||Alex does n't want to leave||Alex does n't catch any fish||Alex eats cereal||Alex wants cereal||Alex does something else||Alex eats cereal instead
"while at summer camp , Remy have a ton of fun and make more friend .","while>>at>>summer>>camp>>,>>Remy>>have>>a>>ton>>of>>fun>>and>>make>>more>>friend>>.",Alex is at summer camp||Alex sends Jesse to summer camp||Alex has fun with Jesse's friends||Alex has tons of fun||Alex has a fun day||Alex has a fun night||Alex makes  more often||Alex is having a lot of fun||Alex makes more friends||Alex spends the summer||Alex makes more money||Alex has fun with Alex's friends||Alex has a ton of fun
Ash make a mistake but then they redeem themselves .,Ash>>make>>a>>mistake>>but>>then>>they>>redeem>>themselves>>.,Alex redeems oneself||Alex makes a huge mistake||Alex divides the  among themselves||Alex makes that mistake again||Alex makes a mistake||Alex makes that mistake||Alex makes mistakes
Jesse be wonder how to send the document to Jesse . Jesse tell Jesse to send the pdf .,Jesse>>be>>wonder>>how>>to>>send>>the>>document>>to>>Jesse>>.>>Jesse>>tell>>Jesse>>to>>send>>the>>pdf>>.,Alex tells Jesse to send
Robin leave the food so that the cat would have something to eat .,Robin>>leave>>the>>food>>so>>that>>the>>cat>>would>>have>>something>>to>>eat>>.,Alex eats so much||Alex eats the food||Alex eats something healthy||Alex leaves the food||Alex eats food||Alex eats something||Alex eats something||Alex gets something to eat||Alex has a pet cat||Alex finds something to eat||Alex would n't eat||Alex leaves food
Alex pay attention to the detail and answer the trick question on their science exam correctly .,Alex>>pay>>attention>>to>>the>>detail>>and>>answer>>the>>trick>>question>>on>>their>>science>>exam>>correctly>>.,Alex pays  to details||Alex answers  correctly||Alex answers the  correctly||Alex answers  correctly||Alex answers the question||Alex answers the  correctly||Alex pays  to detail||Alex pays attention to details||Alex pays attention||Alex answers questions||Alex pays  to the details||Alex answers the questions
